Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,t,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,velocity.linear.x,velocity.linear.y,velocity.linear.z,velocity.angular.x,velocity.angular.y,velocity.angular.z,acceleration.linear.x,acceleration.linear.y,acceleration.linear.z,acceleration.angular.x,acceleration.angular.y,acceleration.angular.z,acc_bias.x,acc_bias.y,acc_bias.z,gyr_bias.x,gyr_bias.y,gyr_bias.z,jerk.x,jerk.y,jerk.z,snap.x,snap.y,snap.z,motors_0,motors_1,motors_2,motors_3
1743728855.114557,16483,1743728855,109386921,world,1743728855.109387,-3.0007098902191016,-2.999817193522645,1.157897426214248,0.0284817100509361,0.0291777041410038,0.7305653647924496,-0.6816243111416358,0.0785128815436363,-0.0373186155359695,-0.0016415403482534,0.1379958761673988,0.0717512361133293,0.0292009926551615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.1256192,16484,1743728855,119297504,world,1743728855.1192975,-2.9999313471015894,-3.0001674683776907,1.1578797321708925,0.0277485374432667,0.0294195751822078,0.7304624910841105,-0.6817543959411292,0.0786569442250099,-0.0294344653300381,-0.0022168640715167,0.1375752501990154,0.0849575023100174,0.0272593107905117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.134646,16485,1743728855,129376173,world,1743728855.1293762,-2.9991384765135574,-3.000444056171234,1.15785591263449,0.0269545093238523,0.029609456978653,0.7303582345636351,-0.6818897151956684,0.078663275904742,-0.0214841138245512,-0.0028029775568983,0.1287465212263517,0.1045846896222222,0.028629302782687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.1440666,16486,1743728855,139500380,world,1743728855.1395004,-2.998342328774606,-3.000641508975624,1.157826048511107,0.0261258335578903,0.0296975219935193,0.7302584363407998,-0.6820250099237123,0.0785294585658625,-0.0135831943811641,-0.003390613146381,0.1218863444896523,0.1169561592028303,0.0255115022611263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.1544995,16487,1743728855,149494171,world,1743728855.1494942,-2.997558095230302,-3.000757958544671,1.1577907296359102,0.0252734844381896,0.0297310155213826,0.7301670698229699,-0.682153478219204,0.0782678746196092,-0.0058844564141459,-0.0039604949715305,0.1232316261648999,0.1308297802001264,0.0269572530760108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.164236,16488,1743728855,159488201,world,1743728855.1594882,-2.9967767781506125,-3.000797738021289,1.1577497529621872,0.0243663078801554,0.0297219112170951,0.7300700685214829,-0.682290690309438,0.0778783234785146,0.0017027774355814,-0.004515681972748,0.1246199176199381,0.1436412387063246,0.0301658958584249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.1737251,16489,1743728855,169387817,world,1743728855.1693878,-2.9960070176674654,-3.000762507717128,1.1577037190342898,0.0234181585125064,0.0296742837650741,0.7299615506306342,-0.6824420571270745,0.0773638223922064,0.0090950449086946,-0.0050481630332565,0.1265175501742204,0.1569846177729842,0.0375783018785384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.1840744,16490,1743728855,179366350,world,1743728855.1793664,-2.995236574278777,-3.0006534141115937,1.1576520431090291,0.0224097509259297,0.0295865831145152,0.7298390835365912,-0.6826106864864586,0.0767140083681977,0.016410669524971,-0.0055644554855731,0.127810381202984,0.1683224501242344,0.0313734357959198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.194247,16491,1743728855,189404964,world,1743728855.189405,-2.994468370291709,-3.000470483180416,1.1575949225088762,0.0213482874266671,0.0294657545279541,0.7297318872948501,-0.6827645220712213,0.0759251028691386,0.0236204731189282,-0.0060605148779319,0.127652202196899,0.181963047363537,0.0285176777757731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743728855.203899,16492,1743728855,199298382,world,1743728855.1992984,-2.993719381303648,-3.000219513722624,1.1575337932711618,0.0202567012380019,0.0292865831911432,0.7296484054127258,-0.682894696551825,0.075012446093394,0.0305667566382055,-0.0065283948940546,0.1193241409635722,0.1997778036565978,0.0236638775300294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
