Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angular_rates.x,angular_rates.y,angular_rates.z,thrust.x,thrust.y,thrust.z
1743729770.079564,46761,1743729770,78861513,uav/imu,-2.5221927893579643,0.5312946836656646,-0.6111610406325693,0.0,0.0,13.107589558199436
1743729770.088522,46762,1743729770,88226279,uav/imu,-2.3296814554376755,0.5553339142761933,-0.5997050042808886,0.0,0.0,13.197196964805512
1743729770.0985396,46763,1743729770,98188798,uav/imu,-2.132904498454133,0.5782855223173385,-0.5767108828351676,0.0,0.0,13.266577061578197
1743729770.109456,46764,1743729770,108841852,uav/imu,-1.8947609994889807,0.6531098722175609,-0.5526323923933132,0.0,0.0,13.223224365427155
1743729770.118724,46765,1743729770,118358707,uav/imu,-1.7313705622778497,0.6180580445973719,-0.5310936444058947,0.0,0.0,13.351776841232658
1743729770.1284175,46766,1743729770,128109246,uav/imu,-1.4915936783809995,0.6896324472481468,-0.5113846616097665,0.0,0.0,13.256410324496663
1743729770.139147,46767,1743729770,138631271,uav/imu,-1.2874497649627543,0.7054976286355248,-0.489378674554398,0.0,0.0,13.244231456691615
1743729770.148823,46768,1743729770,148432723,uav/imu,-1.085821753076739,0.7208537358724687,-0.4796668347922702,0.0,0.0,13.200323813552902
1743729770.1581347,46769,1743729770,157935835,uav/imu,-0.8851117932278014,0.7360432014773375,-0.4639920674900896,0.0,0.0,13.13480665894108
1743729770.169173,46770,1743729770,168545186,uav/imu,-0.6876003517374426,0.7507401078191065,-0.44569264950475,0.0,0.0,13.048169902833047
1743729770.1792157,46771,1743729770,178635329,uav/imu,-0.490968951966242,0.7648493923644164,-0.4283457407050813,0.0,0.0,12.937473557376467
1743729770.188129,46772,1743729770,187976998,uav/imu,-0.2994404218810006,0.7790260203417357,-0.4156725169673858,0.0,0.0,12.80883720531071
1743729770.1988933,46773,1743729770,198503152,uav/imu,-0.1110861757230036,0.7933126394102975,-0.4033156485238497,0.0,0.0,12.658942952857714
1743729770.209418,46774,1743729770,208858624,uav/imu,0.0729473734640852,0.8082931599631116,-0.3821402027142081,0.0,0.0,12.49187037268183
1743729770.2185302,46775,1743729770,218152947,uav/imu,0.251535021874622,0.82406556100781,-0.3661567803200107,0.0,0.0,12.30831960085992
1743729770.228613,46776,1743729770,228246133,uav/imu,0.424026364167156,0.8402830375457699,-0.3504787781613321,0.0,0.0,12.111381273128176
1743729770.2394676,46777,1743729770,238871182,uav/imu,0.5902749494838089,0.8574098454892392,-0.3413086365552216,0.0,0.0,11.900954650967138
